1: confident
TheClan 1
TheBeautifulElite -1
NotWithThemForTheMoney -1
UniqueItems -1
DaddyIssues 0
FamilyBusiness 1
LongLostSibling 1
TooImportantToRememberYou -1
HankyPankyWithTheHelp -1
AssociationFallacy -1
NoHeroDiscount -1
ThickerThanWater 1
StrugglingSingleFather 1
LetHerGrowUpDear 1
LikeParentLikeSpouse 1
BlueBlood -1
GoldFever -1
ChocolateBaby -1
LikeParentUnlikeChild 0
FollowInMyFootsteps 1
NewMoney -1
PreciousPhoto -1
InfiniteSupplies -1
BandOfRelatives 1
DeliberateValuesDissonance -1
KeepTheHomeFiresBurning 1
MistakenForRelated -1
YoureNotMyFather 0
TeamMom 1
MyDadCanBeatUpYourDad 1
ConspicuousConsumption -1
TheGloriousWarofSisterlyRivalry 0
NumberOneDime -1
HadToBeSharp -1
RelatedInTheAdaptation 1
AdoptAServant 1
InformedPoverty -1

8: warm
Average Score: 0.20116625726222992
HotbloodedSideburns -1
FatSweatySouthernerInAWhiteSuit -1
HotWind -1
GettingHotInHere -1
ColdFlames -1
HoodHornament -1
LustObject -1
ConvectionSchmonvection -1
HotBloodedSideburns -1
GettingHotinHere -1
HeatWave -1
DressedAllInRubber -1

9: straight
Average Score: 0.2390434294939041
StraightMan -1
PolitenessJudo -1
HaveIMentionedIAmHeterosexualToday 1
TheFinickyOne -1
MyFistForgivesYou -1
CampStraight 1
StraightManAndWiseGuy -1
UnsettlingGenderReveal -1
TheStraightMan -1
StraightGay 1
PecFlex -1
BuryYourGays 0
TheBeard 0
GayConservative 0
TokenMinorityCouple 0
ExperimentedInCollege 1
AssShove -1
CastFullOfGay 0
NotSoAboveItAll -1

10: handsome
Average Score: 0.20475077629089355
TwinkleSmile 1
MeaningfulLook -1
PrettyBoy 1
WrongGuyFirst -1
InformedAttractiveness 1
HotTeacher 1
BishieSparkle -1
HandsomeLech 1
SlasherSmile -1
StoicSpectacles 1
HotInHumanForm 1
Hunk 1
EvilGrin -1


